,Player,Tm,Pos,Rec,Rec Yds,Rec TDs,Rushes,Rush Yds,Rush TDs,Pass Yds,Pass TDs,Ints,Standard,Half PPR,PPR
1,Tyreek Hill,KAN,WR,95.0,1388.0,16.3,24.0,134.0,2.2,0.0,0.0,0.0,263.20000000000005,310.70000000000005,358.20000000000005
2,Davante Adams,GNB,WR,100.0,1192.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,212.8,262.8,312.8
3,Stefon Diggs,BUF,WR,121.0,1458.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,191.5,252.0,312.5
4,DeAndre Hopkins,ARI,WR,117.0,1428.0,6.1,0.0,1.0,0.0,0.0,0.0,0.0,179.5,238.0,296.5
5,DK Metcalf,SEA,WR,88.0,1383.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,201.9,245.9,289.9
6,Calvin Ridley,ATL,WR,91.0,1384.0,9.1,0.0,1.0,0.0,0.0,0.0,0.0,193.1,238.6,284.1
7,A.J. Brown,TEN,WR,80.0,1224.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,197.4,237.4,277.4
8,Keenan Allen,LAC,WR,110.0,1091.0,8.8,0.0,-1.0,0.0,0.0,0.0,0.0,161.8,216.8,271.8
9,Justin Jefferson,MIN,WR,87.0,1379.0,6.9,0.0,2.0,0.0,0.0,0.0,0.0,179.5,223.0,266.5
10,Allen Robinson,CHI,WR,99.0,1210.0,5.8,0.0,-1.0,0.0,0.0,0.0,0.0,155.70000000000002,205.20000000000002,254.70000000000002
11,Michael Thomas,NOR,WR,100.0,1163.0,6.1,-1.0,-6.0,0.0,0.0,0.0,0.0,152.3,202.3,252.3
12,Terry McLaurin,WAS,WR,96.0,1228.0,4.4,6.0,33.0,0.0,0.0,0.0,0.0,152.50000000000003,200.50000000000003,248.50000000000003
13,Julio Jones,TEN,WR,88.0,1233.0,5.3,0.0,-3.0,0.0,0.0,0.0,0.0,154.8,198.8,242.8
14,Chris Godwin,TB,WR,81.0,1051.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,157.9,198.4,238.9
15,Amari Cooper,DAL,WR,92.0,1109.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0,142.3,188.3,234.3
16,Robert Woods,LAR,WR,83.0,868.0,5.6,26.0,144.0,1.9,0.0,0.0,0.0,146.20000000000002,187.70000000000002,229.20000000000002
17,Mike Evans,TB,WR,64.0,919.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,163.3,195.3,227.3
18,D.J. Moore,CAR,WR,70.0,1261.0,4.2,4.0,23.0,0.0,0.0,0.0,0.0,153.60000000000002,188.60000000000002,223.60000000000002
19,Courtland Sutton,DEN,WR,72.0,1106.0,6.0,3.0,17.0,0.0,0.0,0.0,0.0,148.3,184.3,220.3
20,CeeDee Lamb,DAL,WR,76.0,963.0,5.1,15.0,84.0,1.0,0.0,0.0,0.0,141.3,179.3,217.3
21,Brandon Aiyuk,SFO,WR,71.0,880.0,5.9,16.0,91.0,2.4,0.0,0.0,0.0,146.9,182.4,217.9
22,Kenny Golladay,NYG,WR,55.0,1006.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,156.4,183.9,211.4
23,Diontae Johnson,PIT,WR,81.0,847.0,6.4,3.0,14.0,0.0,0.0,0.0,0.0,124.50000000000001,165.0,205.5
24,Cooper Kupp,LAR,WR,89.0,943.0,2.9,6.0,32.0,0.0,0.0,0.0,0.0,114.90000000000002,159.40000000000003,203.90000000000003
25,Adam Thielen,MIN,WR,59.0,739.0,11.2,2.0,12.0,0.0,0.0,0.0,0.0,142.29999999999998,171.79999999999998,201.29999999999998
26,Tyler Lockett,SEA,WR,75.0,789.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,123.9,161.4,198.9
27,JuJu Smith-Schuster,PIT,WR,81.0,698.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,115.39999999999999,155.89999999999998,196.39999999999998
28,Will Fuller,MIA,WR,54.0,891.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,137.7,164.7,191.7
29,Odell Beckham,CLE,WR,69.0,966.0,3.7,2.0,9.0,0.0,0.0,0.0,0.0,119.70000000000002,154.20000000000002,188.70000000000002
30,Tyler Boyd,CIN,WR,77.0,823.0,3.9,9.0,48.0,0.0,0.0,0.0,0.0,110.50000000000001,149.0,187.5
31,D.J. Chark,JAC,WR,64.0,857.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,122.3,154.3,186.3
32,Corey Davis,NYJ,WR,61.0,925.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,120.7,151.2,181.7
33,Tee Higgins,CIN,WR,61.0,825.0,5.5,5.0,25.0,0.0,0.0,0.0,0.0,118.0,148.5,179.0
34,Deebo Samuel,SFO,WR,53.0,751.0,2.8,27.0,149.0,2.8,0.0,0.0,0.0,123.60000000000001,150.10000000000002,176.60000000000002
35,Robby Anderson,CAR,WR,74.0,851.0,2.3,2.0,12.0,0.0,0.0,0.0,0.0,100.10000000000001,137.10000000000002,174.10000000000002
36,Ja'Marr Chase,CIN,WR,61.0,805.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,111.7,142.2,172.7
37,Brandin Cooks,HOU,WR,59.0,838.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,110.20000000000002,139.70000000000002,169.20000000000002
38,Chase Claypool,PIT,WR,47.0,661.0,6.8,2.0,12.0,1.5,0.0,0.0,0.0,117.10000000000001,140.60000000000002,164.10000000000002
39,Jarvis Landry,CLE,WR,65.0,759.0,2.7,2.0,9.0,0.9,0.0,0.0,0.0,98.40000000000002,130.90000000000003,163.40000000000003
40,Michael Pittman Jr.,IND,WR,65.0,814.0,1.6,8.0,42.0,0.0,0.0,0.0,0.0,95.2,127.7,160.2
41,Marquise Brown,BAL,WR,50.0,666.0,6.9,0.0,1.0,0.0,0.0,0.0,0.0,108.10000000000001,133.10000000000002,158.10000000000002
42,DeVante Parker,MIA,WR,59.0,745.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,97.3,126.8,156.3
43,Jerry Jeudy,DEN,WR,51.0,847.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,102.7,128.2,153.7
44,Curtis Samuel,WAS,WR,55.0,612.0,2.2,26.0,144.0,1.4,0.0,0.0,0.0,97.20000000000002,124.70000000000002,152.20000000000002
45,Michael Gallup,DAL,WR,51.0,722.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,98.0,123.5,149.0
46,Laviska Shenault,JAC,WR,54.0,560.0,4.7,15.0,85.0,0.0,0.0,0.0,0.0,92.7,119.7,146.7
47,T.Y. Hilton,IND,WR,50.0,679.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,94.9,119.9,144.9
48,Jaylen Waddle,MIA,WR,51.0,672.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,93.0,118.5,144.0
49,Mike Williams,LAC,WR,44.0,698.0,4.6,0.0,1.0,0.0,0.0,0.0,0.0,97.49999999999999,119.49999999999999,141.5
50,Nelson Agholor,NWE,WR,36.0,681.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,104.7,122.7,140.7
51,Antonio Brown,TB,WR,49.0,649.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,90.10000000000001,114.60000000000001,139.10000000000002
52,Marvin Jones,JAC,WR,46.0,594.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,92.4,115.4,138.4
53,DeVonta Smith,PHI,WR,48.0,640.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,88.6,112.6,136.6
54,Cole Beasley,BUF,WR,55.0,646.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,80.80000000000001,108.30000000000001,135.8
55,Henry Ruggs III,LVR,WR,39.0,675.0,3.0,13.0,73.0,0.0,0.0,0.0,0.0,92.8,112.3,131.8
56,Darius Slayton,NYG,WR,45.0,678.0,2.7,0.0,-1.0,0.0,0.0,0.0,0.0,83.9,106.4,128.9
57,Jalen Reagor,PHI,WR,50.0,640.0,1.6,8.0,42.0,0.0,0.0,0.0,0.0,77.8,102.8,127.8
58,John Brown,LVR,WR,42.0,623.0,3.5,1.0,4.0,0.0,0.0,0.0,0.0,83.70000000000002,104.70000000000002,125.70000000000002
59,Darnell Mooney,CHI,WR,50.0,518.0,3.3,3.0,16.0,0.0,0.0,0.0,0.0,73.19999999999999,98.19999999999999,123.19999999999999
60,Mecole Hardman,KAN,WR,40.0,545.0,3.9,5.0,30.0,0.0,0.0,0.0,0.0,80.9,100.9,120.9
61,A.J. Green,ARI,WR,51.0,565.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,69.7,95.2,120.7
62,Sterling Shepard,NYG,WR,49.0,483.0,2.2,7.0,36.0,0.7,0.0,0.0,0.0,69.30000000000001,93.80000000000001,118.30000000000001
63,Elijah Moore,NYJ,WR,41.0,543.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001,95.80000000000001,116.30000000000001
64,Denzel Mims,NYJ,WR,41.0,535.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,73.9,94.4,114.9
65,Parris Campbell,IND,WR,39.0,514.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,71.2,90.7,110.2
66,Allen Lazard,GNB,WR,37.0,507.0,3.2,4.0,22.0,0.0,0.0,0.0,0.0,72.10000000000001,90.60000000000001,109.10000000000001
67,Josh Reynolds,TEN,WR,45.0,532.0,1.7,1.0,4.0,0.0,0.0,0.0,0.0,63.800000000000004,86.30000000000001,108.80000000000001
68,Amon-Ra St. Brown,DET,WR,37.0,494.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,68.60000000000001,87.10000000000001,105.60000000000001
69,Emmanuel Sanders,BUF,WR,39.0,462.0,3.2,1.0,8.0,0.0,0.0,0.0,0.0,66.2,85.7,105.2
70,Hunter Renfrow,LVR,WR,44.0,512.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,60.800000000000004,82.80000000000001,104.80000000000001
71,Marquez Valdes-Scantling,GNB,WR,24.0,509.0,4.4,2.0,10.0,0.0,0.0,0.0,0.0,78.30000000000001,90.30000000000001,102.30000000000001
72,Tyrell Williams,DET,WR,29.0,455.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,70.7,85.2,99.7
73,Rashod Bateman,BAL,WR,35.0,462.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2,81.7,99.2
74,Russell Gage,ATL,WR,40.0,439.0,2.2,1.0,5.0,0.0,0.0,0.0,0.0,57.60000000000001,77.60000000000001,97.60000000000001
75,Jamison Crowder,NYJ,WR,34.0,408.0,3.5,1.0,8.0,0.0,0.0,0.0,0.0,62.6,79.6,96.6
76,Rondale Moore,ARI,WR,34.0,449.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,62.300000000000004,79.30000000000001,96.30000000000001
77,Jakobi Meyers,NWE,WR,42.0,520.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,52.6,73.6,94.6
78,Sammy Watkins,BAL,WR,35.0,458.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,58.6,76.1,93.6
79,Christian Kirk,ARI,WR,30.0,392.0,3.8,0.0,2.0,0.0,0.0,0.0,0.0,62.2,77.2,92.2
80,Gabriel Davis,BUF,WR,23.0,401.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,68.30000000000001,79.80000000000001,91.30000000000001
81,DeSean Jackson,LAR,WR,32.0,425.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,58.7,74.7,90.7
82,Breshad Perriman,DET,WR,27.0,462.0,2.7,1.0,5.0,0.0,0.0,0.0,0.0,62.900000000000006,76.4,89.9
83,Tre'quan Smith,NOR,WR,29.0,389.0,3.5,0.0,3.0,0.0,0.0,0.0,0.0,60.2,74.7,89.2
84,Randall Cobb,HOU,WR,31.0,460.0,1.7,1.0,6.0,0.0,0.0,0.0,0.0,56.800000000000004,72.30000000000001,87.80000000000001
85,Kendrick Bourne,NWE,WR,33.0,448.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,52.60000000000001,69.10000000000001,85.60000000000001
86,Kadarius Toney,NYG,WR,30.0,393.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,54.300000000000004,69.30000000000001,84.30000000000001
87,K.J. Hamler,DEN,WR,28.0,350.0,2.8,7.0,37.0,0.0,0.0,0.0,0.0,55.5,69.5,83.5
88,Bryan Edwards,LVR,WR,25.0,431.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,56.300000000000004,68.80000000000001,81.30000000000001
89,Van Jefferson,LAR,WR,32.0,375.0,1.7,0.0,-2.0,0.0,0.0,0.0,0.0,47.5,63.5,79.5
90,Tim Patrick,DEN,WR,25.0,361.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,53.5,66.0,78.5
1,Patrick Mahomes,KAN,QB,0.0,0.0,0.0,61.0,338.0,2.2,5200.0,42.0,7.0,409.0,409.0,409.0
2,Josh Allen,BUF,QB,0.0,0.0,0.0,71.0,389.0,7.4,4196.0,34.0,9.0,369.14,369.14,369.14
3,Kyler Murray,ARI,QB,0.0,0.0,0.0,140.0,770.0,10.3,3733.0,24.0,11.0,362.12,362.12,362.12
4,Dak Prescott,DAL,QB,0.0,0.0,0.0,51.0,278.0,3.0,4916.0,30.0,11.0,340.44,340.44,340.44
5,Lamar Jackson,BAL,QB,0.0,0.0,0.0,194.0,1068.0,7.4,2931.0,28.0,10.0,360.44000000000005,360.44000000000005,360.44000000000005
6,Russell Wilson,SEA,QB,0.0,0.0,0.0,84.0,464.0,1.8,3809.0,36.0,12.0,329.56,329.56,329.56
7,Justin Herbert,LAC,QB,0.0,0.0,0.0,41.0,224.0,4.8,4144.0,30.0,10.0,316.96,316.96,316.96
8,Tom Brady,TB,QB,0.0,0.0,0.0,1.0,5.0,2.7,4178.0,36.0,11.0,305.82,305.82,305.82
9,Aaron Rodgers,GNB,QB,0.0,0.0,0.0,22.0,122.0,2.5,3526.0,39.0,4.0,316.24,316.24,316.24
10,Jalen Hurts,PHI,QB,0.0,0.0,0.0,180.0,992.0,8.3,2948.0,17.0,11.0,312.92,312.92,312.92
11,Joe Burrow,CIN,QB,0.0,0.0,0.0,42.0,229.0,4.8,4333.0,21.0,8.0,293.02,293.02,293.02
12,Matt Ryan,ATL,QB,0.0,0.0,0.0,16.0,90.0,2.0,4474.0,25.0,11.0,277.96000000000004,277.96000000000004,277.96000000000004
13,Matthew Stafford,LAR,QB,0.0,0.0,0.0,22.0,119.0,0.0,4326.0,28.0,11.0,274.94,274.94,274.94
14,Ryan Tannehill,TEN,QB,0.0,0.0,0.0,40.0,218.0,5.7,3126.0,27.0,6.0,277.04,277.04,277.04
15,Baker Mayfield,CLE,QB,0.0,0.0,0.0,31.0,171.0,1.0,3688.0,27.0,8.0,262.62,262.62,262.62
16,Kirk Cousins,MIN,QB,0.0,0.0,0.0,23.0,128.0,0.8,3511.0,29.0,11.0,252.03999999999996,252.03999999999996,252.03999999999996
17,Tua Tagovailoa,MIA,QB,0.0,0.0,0.0,37.0,203.0,5.6,3372.0,20.0,9.0,250.77999999999997,250.77999999999997,250.77999999999997
18,Carson Wentz,IND,QB,0.0,0.0,0.0,61.0,337.0,6.1,3197.0,20.0,18.0,242.18,242.18,242.18
19,Derek Carr,LVR,QB,0.0,0.0,0.0,22.0,119.0,2.6,3496.0,23.0,8.0,243.34000000000003,243.34000000000003,243.34000000000003
20,Trevor Lawrence,JAC,QB,0.0,0.0,0.0,29.0,159.0,1.3,3697.0,22.0,15.0,229.57999999999998,229.57999999999998,229.57999999999998
21,Daniel Jones,NYG,QB,0.0,0.0,0.0,86.0,472.0,1.1,3282.0,12.0,11.0,211.08,211.08,211.08
22,Cam Newton,NWE,QB,0.0,0.0,0.0,93.0,510.0,10.3,2288.0,7.0,9.0,214.32,214.32,214.32
23,Ben Roethlisberger,PIT,QB,0.0,0.0,0.0,2.0,9.0,0.0,2945.0,26.0,8.0,206.7,206.7,206.7
24,Ryan Fitzpatrick,WAS,QB,0.0,0.0,0.0,36.0,196.0,3.2,2845.0,16.0,10.0,196.6,196.6,196.6
25,Jameis Winston,NOR,QB,0.0,0.0,0.0,23.0,129.0,1.0,2994.0,18.0,12.0,186.66,186.66,186.66
26,Sam Darnold,CAR,QB,0.0,0.0,0.0,50.0,277.0,2.5,2814.0,11.0,14.0,171.26,171.26,171.26
27,Jared Goff,DET,QB,0.0,0.0,0.0,13.0,69.0,2.8,2771.0,14.0,9.0,172.54,172.54,172.54
28,Zach Wilson,NYJ,QB,0.0,0.0,0.0,21.0,114.0,0.9,2653.0,16.0,11.0,164.92000000000002,164.92000000000002,164.92000000000002
29,Jimmy Garoppolo,SFO,QB,0.0,0.0,0.0,7.0,38.0,0.6,2412.0,16.0,8.0,151.88,151.88,151.88
30,Justin Fields,CHI,QB,0.0,0.0,0.0,17.0,92.0,0.7,2137.0,13.0,8.0,134.88,134.88,134.88
31,Drew Lock,DEN,QB,0.0,0.0,0.0,20.0,110.0,2.1,2015.0,11.0,10.0,128.20000000000002,128.20000000000002,128.20000000000002
32,Tyrod Taylor,HOU,QB,0.0,0.0,0.0,15.0,84.0,0.7,1947.0,11.0,8.0,118.47999999999999,118.47999999999999,118.47999999999999
